1,1,5
5,1,1
6,1,1
10,1,4
14,1,1
25,1,1
34,1,1
39,1,2
50,1,1
70,1,1
71,1,1
79,1,1
91,1,2
114,1,1
121,1,1
172,1,3
180,1,1
184,1,2
185,1,1
186,1,1
198,1,1
221,1,2
240,1,2
242,1,3
265,1,1
280,1,1
283,1,1
297,1,1
304,1,2
327,1,1
330,1,1
332,1,1
336,1,2
340,1,1
354,1,3
360,1,1
364,1,1
367,1,7
368,1,3
377,1,4
390,1,1
393,1,3
415,1,1
427,1,1
457,1,14
478,1,1
480,1,1
491,1,1
517,1,1
537,1,1
541,1,1
542,1,1
547,1,1
549,1,2
550,1,1
552,1,3
558,1,1
565,1,1
568,1,4
578,1,2
595,1,2
598,1,1
645,1,3
648,1,1
654,1,2
661,1,1
669,1,1
673,1,1
675,1,1
677,1,3
680,1,1
686,1,1
691,1,3
693,1,1
700,1,2
703,1,1
704,1,1
713,1,1
725,1,3
743,1,1
756,1,1
763,1,1
769,1,2
787,1,2
794,1,2
807,1,3
810,1,1
820,1,1
831,1,2
835,1,1
846,1,1
848,1,1
851,1,2
860,1,1
861,1,2
866,1,1
883,1,1
885,1,1
891,1,1
907,1,1
936,1,2
945,1,2
953,1,1
969,1,1
984,1,1
1009,1,9
1016,1,1
1020,1,1
1023,1,2
1036,1,1
1039,1,1
1065,1,1
1069,1,1
1081,1,1
1083,1,1
1106,1,4
1134,1,1
1137,1,2
1141,1,4
1159,1,2
1168,1,3
1174,1,7
1187,1,1
1192,1,1
1194,1,1
1203,1,1
1210,1,1
1217,1,1
1218,1,4
1249,1,1
1275,1,2
1287,1,1
1292,1,3
1296,1,1
1310,1,10
1314,1,1
1320,1,1
1333,1,1
1345,1,1
1351,1,2
1360,1,1
1368,1,1
1370,1,1
1376,1,1
1380,1,1
1381,1,2
1400,1,1
1419,1,2
1420,1,3
1444,1,1
1447,1,1
1457,1,1
1481,1,2
1492,1,1
1493,1,2
1500,1,1
1507,1,1
1530,1,1
1538,1,1
1546,1,2
1548,1,1
1563,1,1
1567,1,2
1572,1,1
1577,1,1
1584,1,1
1602,1,1
1620,1,1
1638,1,1
1691,1,1
1693,1,1
1736,1,1
1737,1,1
1746,1,1
1751,1,1
1753,1,1
1760,1,1
1799,1,1
1845,1,1
1865,1,4
1875,1,5
1879,1,1
1896,1,1
1903,1,2
1951,1,2
1954,1,1
1967,1,2
1979,1,2
2021,1,1
2079,1,2
2100,1,1
2115,1,1
2163,1,1
2175,1,1
2186,1,1
2192,1,1
2233,1,1
2,2,1
3,2,1
24,2,1
25,2,1
35,2,3
71,2,3
78,2,1
93,2,1
97,2,1
115,2,1
133,2,3
148,2,1
159,2,2
176,2,1
184,2,1
206,2,2
212,2,1
214,2,1
233,2,2
237,2,1
246,2,1
274,2,1
276,2,1
280,2,1
282,2,2
307,2,1
311,2,2
345,2,1
347,2,1
355,2,1
374,2,1
377,2,1
385,2,1
436,2,1
484,2,1
486,2,1
561,2,1
588,2,1
594,2,1
613,2,2
634,2,1
644,2,4
668,2,1
673,2,1
714,2,1
758,2,1
783,2,1
815,2,1
823,2,2
828,2,1
831,2,1
847,2,1
902,2,1
908,2,2
948,2,2
1013,2,2
1017,2,1
1053,2,1
1054,2,1
1058,2,3
1059,2,1
1062,2,1
1063,2,1
1066,2,1
1070,2,1
1080,2,2
1088,2,2
1097,2,1
1098,2,1
1101,2,1
1131,2,1
1137,2,1
1138,2,1
1179,2,1
1226,2,2
1228,2,1
1236,2,1
1247,2,1
1252,2,1
1272,2,1
1299,2,2
1350,2,1
1395,2,1
1405,2,1
1427,2,1
1443,2,1
1460,2,1
1516,2,1
1522,2,1
1565,2,1
1574,2,2
1646,2,1
1656,2,1
1678,2,1
1746,2,1
1755,2,1
1756,2,1
1821,2,1
1888,2,1
1904,2,1
1907,2,2
1908,2,1
1917,2,1
1932,2,1
1938,2,2
1945,2,1
1971,2,1
2021,2,1
2096,2,1
2158,2,1
2232,2,1
2269,2,1
25,3,1
142,3,3
149,3,1
156,3,1
164,3,1
240,3,1
